Analysis_Date,Positive,Neutral,Negative,Volume_of_relevant_tweets,Positive_value,Neutral_value,Negative_value,Inflasi,Inti,Bergejolak,Diatur_pemerintah,dagingayam,telurayam,volumeberas,volumedaging,volumelpg,volumetelur
1420070400000,13%,5%,82%,35249,4582.37,1762.45,28904.18,6.96,4.99,8.35,12.31,30087,23168,12741,5334,88797,7067
1422748800000,18%,13%,70%,15869,2856.42,2062.97,11108.3,6.29,4.96,6.18,10.91,27322,21211,156333,2784,28513,1706
1425168000000,32%,9%,59%,18579,5945.28,1672.11,10961.61,6.38,5.04,5.87,11.49,26368,19882,95457,1428,36844,3342
1427846400000,8%,3%,89%,12780,1022.4,383.4,11374.2,6.79,5.04,6.25,13.26,27948,20570,11319,2590,28577,2343
1430438400000,25%,31%,44%,3643,910.75,1129.33,1602.92,7.15,5.04,8.1,13.35,29317,21764,14772,3558,4412,2134
1433116800000,13%,39%,48%,2562,333.06,999.18,1229.76,7.26,5.04,8.83,13.14,30522,22803,7821,11012,8998,6442
1435708800000,40%,4%,55%,1512,604.8,60.48,831.6,7.26,4.86,8.97,13.53,32400,22180,5665,12764,6073,2059
1438387200000,19%,46%,35%,3087,586.53,1420.02,1080.45,7.18,4.92,9.65,12.32,33650,23050,4674,33486,7462,3058
1441065600000,10%,22%,68%,5679,567.9,1249.38,3861.72,6.83,5.07,8.52,11.26,29380,22280,6896,9287,16428,1303
1443657600000,9%,10%,82%,806,72.54,80.6,660.92,6.25,5.02,6.95,9.83,29020,21810,7266,1702,10319,636
1446336000000,40%,24%,36%,721,288.4,173.04,259.56,4.89,4.77,4.84,5.61,31120,22860,7683,1898,8194,625
1448928000000,42%,21%,37%,961,403.62,201.81,355.57,3.35,3.95,4.84,0.39,33930,25950,5587,5375,7982,1275
1451606400000,18%,20%,62%,2437,438.66,487.4,1510.94,4.14,3.62,6.77,3.48,33240,25310,8884,13182,10750,3567
1454284800000,26%,16%,58%,1884,489.84,301.44,1092.72,4.42,3.59,7.87,3.98,29790,23880,12613,7144,7037,693
1456790400000,8%,6%,86%,1130,90.4,67.8,971.8,4.45,3.5,9.59,2.76,29610,21860,8198,3746,6170,795
1459468800000,21%,51%,27%,4432,930.72,2260.32,1196.64,3.6,3.41,9.44,-0.84,29270,22160,3544,1247,2559,554
1462060800000,5%,27%,68%,525,26.25,141.75,357,3.33,3.41,8.15,-0.95,32170,23790,6095,6966,5701,2451
1464739200000,1%,21%,77%,1963,19.63,412.23,1511.51,3.45,3.49,8.12,-0.5,32260,23920,4620,10796,6807,3996
1467331200000,11%,14%,75%,1263,138.93,176.82,947.25,3.21,3.49,7.14,-0.85,32920,23790,1272,7753,4043,774
1470009600000,27%,28%,45%,436,117.72,122.08,196.2,2.79,3.32,5.28,-0.91,31260,23000,3063,2964,11320,536
1472688000000,35%,48%,17%,2532,886.2,1215.36,430.44,3.07,3.21,6.51,-0.38,30820,22730,1415,1597,15991,531
1475280000000,36%,22%,42%,1281,461.16,281.82,538.02,3.31,3.08,7.54,0.17,30150,22030,2738,1770,29354,364
1477958400000,21%,11%,68%,1117,234.57,122.87,759.56,3.58,3.07,9.14,0.09,29780,21950,1575,850,6142,412
1480550400000,28%,26%,46%,544,152.32,141.44,250.24,3.02,3.07,5.92,0.21,33040,24400,1157,2538,2793,1285
1483228800000,31%,32%,37%,1636,507.16,523.52,605.32,3.49,3.35,4.13,3.35,31620,22860,1452,1161,2894,446
1485907200000,39%,19%,43%,429,167.31,81.51,184.47,3.83,3.41,4.46,4.74,29550,22090,993,4985,2066,475
1488326400000,15%,17%,67%,1657,248.55,281.69,1110.19,3.61,3.3,2.89,5.5,29340,21730,2262,819,2632,482
1491004800000,36%,54%,10%,1918,690.48,1035.72,191.8,4.17,3.28,2.66,8.68,30110,21800,621,692,1103,940
1493596800000,18%,20%,62%,778,140.04,155.6,482.36,4.33,3.2,3.26,9.14,31563,23114,1628,2266,1558,2932
1496275200000,27%,23%,50%,1036,279.72,238.28,518,4.37,3.13,2.17,10.64,32066,22873,1574,2188,1466,1123
1498867200000,26%,55%,20%,934,242.84,513.7,186.8,3.88,3.05,1.13,9.27,31773,23194,4899,845,756,537
1501545600000,22%,15%,62%,511,112.42,76.65,316.82,3.82,2.98,1.05,9.31,32079,22622,3469,734,2376,712
1504224000000,18%,13%,69%,995,179.1,129.35,686.55,3.72,3,0.47,9.32,30373,22687,2870,810,1795,382
